Price,Year,Make,Model,Mileage,Body style,Gearbox,Hand drive,Engine,Color,Custom cleared
17500.0,2019,Hyundai,Tucson,26035.745689655174, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
12500.0,2019,Volkswagen,Jetta,26035.745689655174, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
16200.0,2018,Hyundai,Tucson,28601.52, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
6900.0,2018,Ford,Focus,28601.52, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
6900.0,2018,Ford,Focus,28601.52, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
10950.0,2017,Subaru,Legacy,33723.21639344262, Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
12000.0,2019,Nissan,Altima,26035.745689655174, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
11750.0,2020,Mini,Countryman,21441.624100719426, Ունիվերսալ, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
9500.0,2016,Hyundai,Sonata,34204.62344983089, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
18200.0,2021,Subaru,Forester,16736.334685598376, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
25600.0,2019,BMW,530,26035.745689655174, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
18800.0,2020,Toyota,Camry,21441.624100719426, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
28000.0,2018,BMW,530,28601.52, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
15100.0,2019,Kia,Sorento,26035.745689655174, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Կապույտ,Մաքսազերծված չէ
12500.0,2018,Ford,Edge,28601.52, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
